"underspecified sentence","control sentence","type"
"""Control information on all controlled variables must be provided by all subsystems on request. No request for information shall produce a delay of control activities or locking, even if the corresponding equipment is not available or faulty.""","Subsystems must provide requested information about controlled variables without causing delays or locking in control activities, even if the corresponding equipment is unavailable or faulty.","structural semantic ambiguity"
"""Delay times for the exchange of control information must stay within precise time limits to be defined in “General Description” in Chapter 2. One can afford to retransmit commands in case of transmission error or collision, but the protocol has to be predictable in that commands cannot get lost and replies have to come back reliably.""","The exchange of control information must adhere to the time limits specified in Chapter 2 of the General Description, and the protocol must be predictable, ensuring that commands are not lost and replies are returned reliably, allowing for the retransmission of commands in case of transmission error or collision.","semantic imprecision"
"""In a number of cases, synchronization with the Time Reference System at the Gemini 8m Telescopes site is also necessary.""","Synchronization with the Time Reference System at the Gemini 8m Telescopes site is required in certain instances.","semantic imprecision"
"""Access to control parameters, telescope and instrument information for monitoring or other use makes a significant contribution to the control flow, and may be logged at quite high rates for short periods (i.e. up to 200 Hz for some information).""","The control flow requires access to parameters, telescope, and instrument information for monitoring or other purposes. This information may be logged at high rates, up to 200 Hz, for brief periods.","lexical ambiguity"
"""It is explicitly required that all such information is available to the Gemini 8m Telescopes software and is capable of being available to all users of the Gemini 8m Telescopes, subject only to restrictions with respect to updating. It must also be possible to restrict user access to such information.""","The Gemini 8m Telescopes software must provide access to all relevant information to all users, with the exception of updates, and it must also support the restriction of user access to this information.","semantic imprecision"
"""In particular also, the meteorological information coming from a weather station should be available centrally.""","The weather station's meteorological data must be accessible centrally.","semantic imprecision"
"""Detector data must be acquired and stored in the most effective way technology will allow; effectiveness should be evaluated in terms of cost, space requirements, longevity, and speed. This shall lead to the definition of a Gemini 8m Telescopes standard, used on all instruments. In general, operational overheads must be kept as low as possible, to maximize actual observing times.""","The system must efficiently acquire and store detector data, with evaluation based on cost, space requirements, longevity, and speed. This efficiency standard should be applied to all Gemini 8m Telescopes instruments. The system should minimize operational overheads to maximize observing time.","semantic imprecision"
"""Intermediate storage of raw data in memory on different nodes and in different formats should be kept to a minimum. However, there must be at least two copies - one to secure data as acquired and one to do assessment of data quality on-line (this last copy preferably on removable media).""","Maintain minimal intermediate storage of raw data in memory across multiple nodes and in various formats. Ensure at least two copies of the data: one for secure data storage as it is acquired, and another for real-time data quality assessment, with the latter preferably stored on removable media.","semantic imprecision"
"""The link chosen to transfer data should represent as small a bottleneck as possible for data acquisition.""","The data transfer link should minimize data acquisition bottlenecks.","semantic imprecision"
"""Normally, raw data will be acquired and stored as such for quick look evaluations. There might, however, be cases (for example, infrared detectors) where fast preprocessing is needed and where, therefore, raw data will not be stored as such, but in a preprocessed format.""","Raw data should be stored for quick evaluation, but in cases where fast preprocessing is required (such as with infrared detectors), the data should be stored in a preprocessed format.","structural semantic ambiguity"
"""Astronomical data will have to be transported between GEMINI and the home institutes of visiting astronomers in FITS format (as defined by NOST 100-1.0, “Definition of the Flexible Image Transport System (FITS)”, NASA Science Office of Standards and Technology).""","The astronomical data must be transmitted from GEMINI to the home institutes of visiting astronomers in the FITS format, as specified by NASA Science Office of Standards and Technology's NOST 100-1.0 document, Definition of the Flexible Image Transport System (FITS).","missing information"
"""TV data concerning site monitoring and voice need to be capable of being available at all operations facilities. It will be a question of interfacing and bandwidth costs whether such information is actually available at a specific location. It is not a requirement that point to point video be available between Gemini 8m Telescopes operations facilities. It is a requirement that voice connectivity, perhaps point to point, be available on a permanent connection.""","Voice connectivity, potentially point-to-point, must be available on a permanent connection at all operations facilities for TV data related to site monitoring. Point-to-point video connectivity between Gemini 8m Telescopes operations facilities is not required.","syntactic ambiguity"
"""Other astronomical information such as that coming from sky field monitors, autoguider cameras and sky monitoring devices such as cloud and seeing monitors shall also be capable of being available.""","The software must be capable of integrating and displaying data from sky field monitors, autoguider cameras, cloud monitors, and seeing monitors.","lexical ambiguity"
"""Operation of telescope, instruments and subsystems can be carried out at three different levels. There will be parameters associated with each level of operation which define the status of the system and / or control the system. The specific access by different types of users to particular parameters of the different levels are given in Section 2.5.8 on page 25.""","The telescope, instruments, and subsystems can be operated at three distinct levels. Each level of operation has associated parameters that define the system's status or control the system. Access to specific parameters at each level is detailed in Section 2.5.8 on page 25 for various user types.","missing information"
"""This is the normal operational mode. It allows a certain number of embedded tests, normally at a fairly high level. Monitoring is also done at this level.""","The system operates in normal mode, supporting a specified number of embedded tests at a high level, and performing monitoring at the same level.","semantic imprecision"
"""It is anticipated that all user categories have access to this level.""","All user categories must have access to this level.","semantic imprecision"
"""This allows maintenance tables (for example, with instrument parameters) to be updated.""","The software should enable the updating of maintenance tables, such as those containing instrument parameters.","missing information"
"""It is anticipated that the majority of parameters at this level will be accessed by operations and development staff.""","The parameters at this level are expected to be primarily accessed by operations and development staff.","semantic imprecision"
"""This allows the installation and testing of new packages or new releases. Any low level test can be performed in this mode.""","The system enables the installation and testing of new packages or new versions, and it supports the execution of low-level tests.","semantic imprecision"
"""It shall be possible to update all non-protected parameter values, i.e. those not used by operations at observing level.""","The software must allow for the updating of all non-protected parameters that are not used in observing-level operations.","semantic imprecision"
"""Access to this level will be extremely limited.""","Only a few users will have access to this level.","semantic imprecision"
"""A further subdivision within the levels can be achieved by implementing privileges associated with categories of users or with the location of the user station (local or remote). For example some users might only be allowed monitoring, as a subsystem is in use by someone else.""","Users should be assigned privileges based on their category or location, with some users only allowed to monitor a subsystem when it is not in use by another user.","semantic imprecision"
"""Protections must also be enforced (see also Security in Section 3.5.6 on page 3- 20) among users and the operational software should indicate clearly to users the current operation level and check the compatibility between subsystems in different modes.""","The software must enforce security protections as detailed in Section 3.5.6 on page 3-20. Users should be informed of the current operation level, and the software must verify the compatibility between subsystems in different modes.","semantic imprecision"
"""There must be automatic procedures to implement startup and shutdown of the telescope and instruments. These must allow startup and shutdown of instruments independently of the telescope and without affecting the telescope operation.""","The system shall include automated procedures for initiating and terminating the telescope and its instruments. These procedures should enable independent startup and shutdown of the instruments without interfering with the telescope's operation.","missing information"
"""Reconfiguration procedures must exist, to change the observing environment.""","The software must include reconfiguration procedures for modifying the observing environment.","semantic imprecision"
"""The definition of the observing environments must be dynamic, i.e. feasible during operations without the need to restart everything. The same applies to the related light path.""","The observing environments and related light paths must be dynamically configurable, allowing for adjustments during operations without requiring a system restart.","semantic imprecision"
"""Operations staff have privileges to change the environment, meaning selecting a suitable combination of instruments.""","Operations staff are granted the ability to select appropriate configurations of tools within the environment.","semantic imprecision"
"""The operational software should know which subsystems are installed and operational at any given time.""","The software must be able to determine the status of each installed subsystem, whether it is operational or not, at any given time.","missing information"
"""The standard software must be adequate for the real-time requirements and must offer drivers to the standard electronics to be used on all the Gemini 8m Telescopes software subsystems and instruments.""","The software must meet real-time requirements and provide drivers for standard electronics compatible with all Gemini 8m Telescope software subsystems and instruments.","semantic imprecision"
"""Links between electronics interfaces and main processors must meet the requirements imposed by the data specifications (see Section 3.1 on page 3- 1).""","The links between electronics interfaces and main processors must adhere to the data specifications outlined in Section 3.1 on page 3-1.","missing information"
"""The output format of the Gemini 8m Telescopes data must be compatible with the GEMINI archive requirements.""","The Gemini 8m Telescopes' output format must adhere to the GEMINI archive specifications.","missing information"
"""As comparisons with previous data might be of great value and affect the actual observing program, on-line interactive access to the data archiving system should exist, so that access to this database is possible for Gemini 8m Telescopes users.""","Gemini 8m Telescopes users must have online, interactive access to the data archiving system for the purpose of comparing data with previous records, which may impact the observing program.","semantic imprecision"
"""The Gemini 8m Telescopes software must be able to interface with all commercial software packages available on the Gemini 8m Telescopes and integrated into the Gemini 8m Telescopes operation.""","The Gemini 8m Telescopes software must be compatible with all commercially available software packages used in the operation of the Gemini 8m Telescopes.","semantic imprecision"
"""A relevant example of such a package is a general database management system (DBMS), where operational information such as schedules, logs, problem reports and maintenance information related to various pieces of equipment should be kept.""","The software package in question should be a general database management system (DBMS) that stores operational information, including schedules, logs, problem reports, and maintenance information for various pieces of equipment.","missing information"
"""The Gemini 8m Telescopes software shall be able to bring the Gemini 8m Telescopes system quickly to a safe state upon detection of danger. Safety aspects shall be analyzed during the functional specification phase of the software.""","The Gemini 8m Telescopes software must rapidly transition the Gemini 8m Telescopes system to a secure state upon identifying a hazardous condition, with safety considerations addressed during the functional specification stage of the software development process.","semantic imprecision"
"""A system that is operating in Engineering/Maintenance mode must ignore directives from other systems, though status information should still be provided for use by other systems.""","In Engineering/Maintenance mode, the system should disregard commands from other systems, but it should continue to provide status updates for use by other systems.","missing information"
"""There should be security preventing the intrusion into the system by unauthorized users, or users at unauthorized access levels.""","The system must implement access control to prevent unauthorized users and users at unauthorized access levels from gaining entry.","semantic imprecision"
"""All systems are appropriately interlocked. This interlock must not depend on any software for reliable operation. Details of the interlock system are found in the Mount Control System Work Package Definition.""","The interlock system in all systems must operate reliably without relying on any software, as specified in the Mount Control System Work Package Definition.","missing information"
