"underspecified sentence","control sentence","type"
"""The THEMAS system shall use the information contained in the initialization data file to determine which heating and cooling units are part of the THEMAS system. There is one heating and cooling unit that corresponds to one thermostat in each of four quadrants on each of three floors of the office building.""","The THEMAS system should utilize the initialization data file to identify the specific heating and cooling units that are components of the THEMAS system. Each heating and cooling unit corresponds to a single thermostat, and there is one such unit in each of the four quadrants on each of the three floors of the office building.","semantic imprecision"
"""Each thermostat shall have a unique identifier by which that thermostat is identified in the THEMAS system. This procedure will load these definitions into the THEMAS software.""","The THEMAS system must assign a unique identifier to each thermostat, and this identifier must be loaded into the THEMAS software during operation.","semantic imprecision"
"""Each quadrant of each floor shall have a thermostat which is to be used to provide temperature data to the THEMAS system. The initialization file shall contain a unique identifier for each thermostat that the system is to monitor. These identifiers shall be read from the initialization file and loaded into the THEMAS system during the initialization process.""","The THEMAS system shall monitor temperature data from a unique thermostat in each quadrant of every floor. The initialization file shall provide these thermostat identifiers to the system during the initialization process.","semantic imprecision"
"""There shall be a maximum number of heating or cooling units that can be on at any given time. This procedure loads the maximum number of concurrently running units allowed.""","The software must limit the number of active heating or cooling units to the maximum allowed at any given time. This limitation is enforced by the software's concurrent operation procedure.","semantic imprecision"
"""The trigger value is used in combination with the current temperature to determine when a heating or cooling unit shall be turned on or off.""","The system should activate or deactivate a heating or cooling unit based on the comparison of the current temperature with a predefined trigger value.","lexical ambiguity"
"""The trigger values shall reside in an initialization file. This procedure shall read the initialization file and establish the trigger value from the data in that file.""","The software should store the trigger values in an initialization file. Upon execution, it should read the initialization file and set the trigger values based on the data in the file.","semantic imprecision"
"""The THEMAS system shall ensure the temperature reported by a given thermostat shall not exceed a maximum deviation value of 3 degrees Fahrenheit.""","The THEMAS system must limit the temperature reported by a thermostat to a maximum deviation of 3 degrees Fahrenheit.","lexical ambiguity"
"""The overtemperature values shall reside in an initialization file. This procedure shall read the initialization file and establish the overtemperature value from the data in that file.""","The software must store the overtemperature values in an initialization file. It should then read this file and extract the overtemperature value for use.","semantic imprecision"
"""The THEMAS system shall only respond to temperatures that are within a reasonable value.""","The THEMAS system must only process temperatures that are within a reasonable range.","lexical ambiguity"
"""The valid temperature range value shall reside in an initialization file. This procedure shall read the initialization file and establish the valid temperature range from the data in it.""","The valid temperature range must be stored in an initialization file. The software should read this file during initialization and set the valid temperature range based on the data it contains.","semantic imprecision"
"""When the THEMAS system is initialized, it shall first turn off all the heating and cooling units. Then, it shall check all the thermostats and determine if any thermostat’s settings require a heating or cooling unit to be turned on back on.""","Upon initialization, the THEMAS system will first deactivate all heating and cooling units, then assess each thermostat's settings to determine if any heating or cooling unit needs to be reactivated.","semantic imprecision"
"""The THEMAS system shall only respond to temperatures from the thermostats that are within the specified valid range.""","The THEMAS system must only process temperatures from thermostats that fall within the defined valid range.","lexical ambiguity"
"""Two types of temperature data shall be recognized from the thermostats: 1) the temperature setting and 2) the current temperature. This module shall process both types of data.""","The module must be capable of recognizing and processing two types of temperature data: the temperature setting and the current temperature, as provided by the thermostats.","lexical ambiguity"
"""The THEMAS system shall determine when a reported temperature or a changed temperature setting exceeds the limits set by the overtemperature values. Temperatures that exceed the overtemperature limits shall be reported as such. Temperatures that do not exceed these limits shall be output for subsequent processing.""","The THEMAS system should report temperatures that exceed the overtemperature limits and output temperatures that do not exceed these limits for subsequent processing.","semantic imprecision"
"""When the current temperature value exceeds the current temperature setting by a pre-defined amount, the THEMAS system shall activate the appropriate heating or cooling unit.""","If the current temperature is greater than the set temperature by a predefined margin, the THEMAS system should activate the corresponding heating or cooling device.","semantic imprecision"
"""The THEMAS system shall control each of the heating and cooling units that are defined for the system. The THEMAS system shall limit the number of heating or cooling units that may be running simultaneously.""","The THEMAS system must manage all heating and cooling units within the system, ensuring that no more than one unit can operate at a time for heating or cooling.","semantic imprecision"
"""The THEMAS system shall maintain the ON/OFF status of each heating and cooling unit. When a request to turn on or off a heating or cooling unit, the following processing will occur.""","The THEMAS system should manage the power state of each heating and cooling unit. Upon a request to activate or deactivate a heating or cooling unit, the system should perform the necessary processing.","syntactic ambiguity"
"""When a request to turn on a heating or cooling unit is received, the system shall determine if the request can be honored. If the maximum number of heating or cooling units is already running, the request will be add ed to a LIFO queue. If the maximum number of heating or cooling units is not running, this process will generate a request to turn on the requested unit.""","When a request to activate a heating or cooling unit is received, the system should check if the maximum number of active units has been reached. If the maximum number is exceeded, the request should be added to a Last-In-First-Out (LIFO) queue. If the maximum number is not exceeded, the system should generate a request to activate the requested unit.","semantic imprecision"
"""When a request to turn off a heating or cooling unit is received, this process shall check the queue of waiting heating and cooling requests. If the queue is not empty, this process shall remove one request from the LIFO queue and check the current state of the thermostat for which the queued request was made. If that thermostat still needs a heating o r cooling unit turned on, this process shall submit a request to turn that unit on.""","When a request to turn off a heating or cooling unit is received, the system should check the queue of waiting requests for the same unit. If the queue is not empty, it should remove the most recent request and check the current state of the thermostat for which the request was made. If the thermostat still requires the unit to be turned on, the system should submit a request to turn the unit back on.","semantic imprecision"
"""When a request for a heating unit or cooling to be turned is denied, an event shall be generated and the THEMAS system shall record that event. The information in these events will be used for creating statistical reports.""","The THEMAS system shall generate and record an event when a request for a heating unit or cooling to be turned is denied, and this information will be used for creating statistical reports.","semantic imprecision"
"""This procedure shall realize the thermostat and heating or cooling information and use this information to generate a specific system event. This system event shall consist of a description of the event type (a request denied event), a designation of the thermostat that made the request, and a designation of the heating or cooling unit that was not turned on.""","The system should receive and process thermostat and heating or cooling information, and then generate a specific event that includes the event type (request denied), the thermostat that made the request, and the heating or cooling unit that was not turned on.","lexical ambiguity"
"""The THEMAS system shall control the heating and cooling units that are designated as part of the THEMAS system.""","The THEMAS system should manage the heating and cooling units that are integrated within it.","semantic imprecision"
"""When a request to turn on or off a heating or cooling unit is made, this process shall generate the appropriate request to carry out that request. This request shall include the designation of the heating or cooling unit and a flag to indicate whether that unit is to be turned on or off.""","Upon receiving a request to toggle the state of a heating or cooling unit, the system should generate a request to perform that action, including the unit's identification and a flag indicating whether the unit should be turned on or off.","semantic imprecision"
"""Once a request to turn on or off a heating or cooling unit, the THEMAS system shall provide the necessary control signal for the unit. This control signal shall also provide an indication of the unit’s status at the requesting thermostat.""","The THEMAS system must send a control signal to a heating or cooling unit to turn it on or off, and this signal must also indicate the unit's status at the requesting thermostat.","syntactic ambiguity"
"""This process shall recognize the values for the requested heating or cooling unit and the ON or OFF status that is being requested. The necessary signal to the heating or cooling unit will be generated. Since the interface to con trol the units has not been defined, the part of this process that will issue the signal is designated as TBD(to be determined).""","The software should identify the requested heating or cooling unit and its ON or OFF status. It should then generate the appropriate signal for the unit. The method for issuing the signal is to be determined, as the control interface has not yet been defined.","missing information"
"""In order to provide an indication of the status of the heating or cooling unit back to the requesting thermostat, this procedure shall output the status information of the heating or cooling unit.""","The procedure should output the status of the heating or cooling unit to the requesting thermostat.","semantic imprecision"
"""In order to provide an operational history and statistical reports, this process shall generate an event each time a change is made to the status of a heating or cooling unit. This event shall contain the identification of the heating or cooling unit whose status is being changed.""","Generate an event for each status change of a heating or cooling unit, with the event containing the unit's identification.","sematnic imprecision"
"""There are two events that shall result in an alarm condition: 1) an invalid temperature value is reported from a thermostat, or 2) the reported temperature has exceeded the defined limits. This process shall determine which alarm event is to be generated.""","The system shall generate an alarm when either an invalid temperature value is reported from a thermostat or the reported temperature exceeds the defined limits, and it shall identify the specific alarm event that has occurred.","semantic imprecision"
"""When the THEMAS system detects a request for an alarm, this process shall detect which of the two alarms are being requested.""","The THEMAS system should identify which of the two alarms is being requested upon detection of an alarm request.","semantic imprecision"
"""If the system detects an invalid temperature, this process shall output a continuous series of alternating 500 Hz and 700 Hz beeps on the supervisor’s computer. Each beep shall have a three - quarter second duration. This series of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window.""","The system should produce a continuous series of alternating 500 Hz and 700 Hz beeps on the supervisor's computer for as long as an invalid temperature is detected. Each beep should last for three-quarters of a second, and the supervisor can manually reset the alarm through the supervisor's interface window.","semantic imprecision"
"""If the system detects a temperature limit has been exceeded, this process shall output a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor’s computer. Each beep shall have a one-half second duration. This series of beeps shall continue until the supervisor manually resets the alarm through the supervisor’s interface window.""","The system should emit a continuous series of alternating 1000 Hz and 1500 Hz beeps on the supervisor's computer for as long as the temperature limit is exceeded. Each beep should last half a second. The alarm will stop only when the supervisor manually resets it through the supervisor's interface window.","semantic imprecision"
"""Each time an alarm is requested, an alarm event shall be recorded. This event shall be used to provide operational and statistical reports about the system.""","Upon each alarm request, the system shall record an alarm event for operational and statistical reporting purposes.","semantic imprecision"
"""For each event that is generated, the THEMAS system shall identify each event and generate the appropriate event data.""","The THEMAS system must identify each generated event and produce the corresponding event data.","semantic imprecision"
"""When an event occurs, the THEMAS system shall identify the event type and format an appropriate event message. The THEMAS system shall record each event by a description and the current system time for that event. This information shall be recorded in a Microsoft® Access® database that shall reside on the supervisor’s computer.""","The THEMAS system should detect an event, identify its type, and generate an appropriate event message. Each detected event should be recorded with a description and the current system time, and these records should be stored in a Microsoft Access database located on the supervisor's computer.","missing information"
"""The THEMAS system shall provide the supervisor a mechanism to change the temperature setting of any of the thermostats in the system.""","The THEMAS system must offer a means for the supervisor to adjust the temperature setting of any thermostat within the system.","semantic imprecision"
"""The supervisor’s interface shall display the available thermostats and their individual current temperature settings.""","The supervisor interface should show the list of available thermostats and their current temperature settings.","semantic imprecision"
"""The supervisor shall be able to select one of the thermostats and  select a value for the current temperature from a list of valid temperatures.""","The supervisor must have the capability to choose a specific thermostat and set its current temperature to a valid value from a provided list.","semantic imprecision"
"""The THEMAS shall provide the ability for the supervisor to select between two different types of reports: 1) the operational history of the THEMAS system for the past twelve months and 2) a statistical summary for any selected month.""","The THEMAS system must allow the supervisor to choose between two types of reports: 1) a twelve-month operational history report of the THEMAS system, and 2) a statistical summary report for any specified month.","semantic imprecision"
"""The supervisor’s interface to the THEMAS system shall provide a mechanism to select between an operational history report or a statistical summary report. Either report shall consist of an ASCII file whose location and name shall be selectable by the operator.""","The THEMAS system's supervisor interface should offer a means for the operator to choose between generating an operational history report or a statistical summary report. Both reports should be saved as ASCII files, and the operator should be able to specify the file's location and name.","semantic imprecision"
"""If the operational history report is selected, the THEMAS system shall select all the events from the event database, sort the events by date and time, and create the ASCII report file.""","When the operational history report is chosen, the THEMAS system should retrieve all events from the event database, arrange them in chronological order, and generate an ASCII report file.","semantic imprecision"
