"underspecified sentence","control sentence","type"
"""The help should be accessible to the users both in the offline and online mode.""","The application must be usable in both offline and online modes.","semantic imprecision"
"""The solution should provide an interface for the user to log any defects or enhancement requests on the application and track thereafter.""","The system must offer a user interface for submitting and tracking defects or enhancement requests within the application.","semantic imprecision"
"""The solution should send alerts (e.g., email, SMS) to the user if the user chooses to whenever any action has been taken on the alert.""","The system should send alerts (e.g., email, SMS) to the user when the user has opted in, for any action taken on an alert.","semantic imprecision"
"""The solution should enable the user to track the submitted defect or enhancement request.""","The system must allow users to monitor the status of their submitted defect or enhancement requests.","semantic imprecision"
"""The solution should enable the help-desk user to view the reports on the submitted defects or enhancement requests category-wise, status-wise, and age-wise.""","The software must provide a feature that allows help-desk users to view defects and enhancement requests categorized, statused, and aged.","semantic imprecision"
"""The support solution should be accessible to the users both from within the application and also outside the application through a browser interface.""","The support solution must be accessible to users through both the application's interface and a web-based interface.","semantic imprecision"
"""Once the audit trail functionality has been activated, the System must track events without manual intervention, and store in the audit trail informationn about them.""","After enabling the audit trail feature, the System should automatically record events and store the related information in the audit trail without requiring manual intervention.","semantic imprecision"
"""The System must maintain the audit trail for as long as required, which will be at least for the life of the case to which it refers.""","The system must preserve the audit trail for the duration of the associated case.","semantic imprecision"
"""The System must ensure that audit trail data is available for inspection on request, so that a specific event can be identified and all related data made accessible, and that this can be achieved by authorised external personnel who have little or no familiarity with the system.""","The system must provide access to audit trail data for inspection upon request, enabling the identification and retrieval of specific events and related data, even for authorized external personnel with limited familiarity with the system.","structural semantic ambiguity"
"""The System must be able to export audit trails for specified cases (without affecting the audit trail stored by the System). This functionality can be used by external auditors who wish to examine or analyse system activity""","The System shall provide an export feature for specified audit trails, allowing external auditors to examine or analyze system activity without altering the System's stored audit trail.","semantic imprecision"
"""The System must be able to capture and store violations (i.e. A userâ€™s attempts to access a case to which he is denied access), and (where violations can validly be attempted) attempted violations, of access control mechanisms.""","The system must record and store instances of unauthorized access attempts to cases.","semantic imprecision"
"""The System must allow the user to limit access to cases to specified users or user groups.""","The System shall provide an access control feature that enables the user to restrict case access to designated users or user groups.","lexical ambiguity"
"""The system should provide for role-based control for the functionality within the system.""","The system must implement role-based access control for its internal functions.","semantic imprecision"
"""The System must allow a user to be a member of more than one group.""","The System must support multiple group membership for users.","structural semantic ambiguity"
"""The System must allow only admin-users to set up user profiles and allocate users to groups.""","Admin-users are the only users authorized to create and manage user profiles and user group assignments within the System.","structural semantic ambiguity"
"""The System should allow a user to stipulate which other users or groups can access cases.""","The System must provide a feature that enables a user to specify access permissions for cases, either for individual users or user groups.","structural semantic ambiguity"
"""The System must allow changes to security attributes for groups or users (such as access rights, security level, privileges, password allocation and management) to be made only by super-user.""","The system shall restrict modifications to security attributes (e.g., access rights, security level, privileges, password allocation, and management) to authorized super-users only.","lexical ambiguity"
"""If a user performs a quick or advanced search, the System must never include in the search result list any record which the user does not have the right to access.""","The System shall exclude from search result lists any record that the user is not authorized to access, regardless of whether the search is quick or advanced.","semantic imprecision"
"""If the System allows users to make unauthorised attempts to access cases, it must log these in the audit trail.""","The System must log unauthorized access attempts to cases in the audit trail.","semantic imprecision"
